path,github_user,github_repo,latest_release,latest_commit,comitted_date
/usr/lib/dradis,user:dradis,repo:dradis-legacy,latest_release:n/a,latest_commit:773b16f55bcf148453135fd348627d85f2ddfce5,committed_date:2016-03-16T10:27:21Z
/usr/lib/python2.7,user:tonny-zhang,repo:python2.7,latest_release:n/a,latest_commit:df4e897b5695d208f347b5d13cd1dd2c7f5ef50e,committed_date:2012-07-24T04:19:26Z
/usr/lib/python2.7/dist-packages/apt,user:chef-cookbooks,repo:apt,latest_release:,released_date:2015-03-23T16:21:11Z,latest_commit:3dbb5ac4d0b2bee69de6c0b1f044a776d159c921,committed_date:2017-05-11T05:57:37Z
/usr/lib/python2.7/dist-packages/aptsources,user:msbrandstatt,repo:APTSources,latest_release:n/a,latest_commit:n/a
/usr/lib/python2.7/dist-packages/argcomplete,user:kislyuk,repo:argcomplete,latest_release:v1.8.2,released_date:2017-01-26T21:02:30Z,latest_commit:e72c5fb565300b935de3247e4cb84c4253471669,committed_date:2017-06-08T21:21:38Z
/usr/lib/python2.7/dist-packages/attr,user:saintjoe-cs,repo:Attr,latest_release:n/a,latest_commit:f451e518c5c67262421fd918875563c57718ce8a,committed_date:2015-04-29T19:55:03Z
/usr/lib/python2.7/dist-packages/backports,user:marcandre,repo:backports,latest_release:n/a,latest_commit:4c77bd6e02483e3b9ab79592d2a1715c955bc002,committed_date:2017-04-28T04:50:30Z
/usr/lib/python2.7/dist-packages/baz,user:bazelbuild,repo:bazel,latest_release:0.5.1,released_date:2017-06-06T10:59:40Z,latest_commit:9323f3b8afb02df8ac359fb5f6805ba94361591f,committed_date:2017-06-13T15:13:31Z
/usr/lib/python2.7/dist-packages/bbqsql,user:Neohapsis,repo:bbqsql,latest_release:n/a,latest_commit:4f7c0863b79112c9aee23c1a8793435ae38aff4e,committed_date:2014-10-29T02:19:31Z
/usr/lib/python2.7/dist-packages/blinker,user:jek,repo:blinker,latest_release:n/a,latest_commit:638cbae12f60965053f53b61191d2541fbf605b8,committed_date:2016-06-23T20:58:03Z
/usr/lib/python2.7/dist-packages/bluetooth,user:myz1104,repo:Bluetooth,latest_release:n/a,latest_commit:cb9d0a38ff73bfe61684e55e41807521c05fe847,committed_date:2014-03-29T07:46:24Z
/usr/lib/python2.7/dist-packages/brotli,user:google,repo:brotli,latest_release:Brotli v0.6.0,released_date:2017-04-10T09:33:47Z,latest_commit:05d5f3d77a3445b464c230b382855979e1b89fef,committed_date:2017-06-13T10:52:56Z
/usr/lib/python2.7/dist-packages/bs4,user:start-angular,repo:SB-Admin-BS4-Angular-4,latest_release:n/a,latest_commit:9068eaebcce291d5725e0e406ebd640d92a41f8d,committed_date:2017-06-07T05:22:00Z
/usr/lib/python2.7/dist-packages/bson,user:py-bson,repo:bson,latest_release:0.4.6,released_date:2017-02-17T03:51:17Z,latest_commit:38db97d1f9f347d50405ce1554d559108c75807c,committed_date:2017-04-09T13:48:17Z
